City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,bac lieu,9.285,105.7244,30.63,60,98,3.11,VN,1702956763
302,manta,-0.95,-80.7333,26.67,74,75,6.71,EC,1702956763
303,caldwell,43.6629,-116.6874,0.64,96,75,1.54,US,1702956763
304,suwayr,30.1171,40.3893,7.52,77,0,4.18,SA,1702956763
305,alaghsas,17.0187,8.0168,16.52,26,53,2.34,NE,1702956763
306,port alfred,-33.5906,26.891,17.88,99,99,3.34,ZA,1702956763
307,san patricio,28.017,-97.5169,16.02,60,99,3.37,US,1702956763
308,usinsk,65.9939,57.5281,-11.07,93,100,8.49,RU,1702956763
309,aldinga beach,-35.2793,138.4604,21.81,48,0,9.09,AU,1702956763
310,timbuktu,16.7735,-3.0074,13.27,22,100,6.35,ML,1702956764
311,gympie,-26.1898,152.665,31.12,41,31,4.12,AU,1702956620
312,al mawsil al jadidah,36.3346,43.0978,10.63,56,34,1.95,IQ,1702956630
313,tolanaro,-25.0319,46.9987,24.04,88,75,3.09,MG,1702956764
314,praia,14.9215,-23.5087,23.3,73,20,6.17,CV,1702956764
315,longgang,37.6508,120.3286,-0.75,62,100,9.79,CN,1702956764
316,rathdrum,47.8137,-116.892,2.63,89,100,4.12,US,1702956764
317,santa ana de yacuma,-13.75,-65.4333,28.08,60,100,2.45,BO,1702956764
318,kapa'a,22.0752,-159.319,26.99,78,100,10.29,US,1702956764
319,orcopampa,-15.2661,-72.3417,8.27,69,98,2.39,PE,1702956764
320,pushkinskiye gory,57.0209,28.9103,2.48,98,100,5.17,RU,1702956764
321,lerwick,60.1545,-1.1494,7.0,68,66,10.82,GB,1702956765
322,cestos city,5.46,-9.5828,25.27,81,6,1.51,LR,1702956765
323,kerman,30.2832,57.0788,-0.08,32,75,2.06,IR,1702956765
324,nichinan,31.6,131.3667,7.82,94,100,5.24,JP,1702956765
325,dalbandin,28.8947,64.4101,13.32,25,1,1.26,PK,1702956765
326,arraial do cabo,-22.9661,-42.0278,23.24,90,0,4.24,BR,1702956765
327,carnarvon,-24.8667,113.6333,25.53,68,15,5.52,AU,1702956765
328,teguise,29.0605,-13.564,14.12,72,0,3.09,ES,1702956765
329,pedregal,8.3667,-82.4333,26.78,94,40,3.58,PA,1702956765
330,klaksvik,62.2266,-6.589,2.51,65,100,5.59,FO,1702956765
331,broome,42.2506,-75.833,2.72,85,100,4.63,US,1702956766
332,kintinku,-5.8833,35.2333,22.06,79,65,1.3,TZ,1702956766
333,veraval,20.9,70.3667,23.46,41,100,7.36,IN,1702956766
334,sitka,57.0531,-135.33,0.94,75,0,0.0,US,1702956766
335,prince rupert,54.3161,-130.3201,5.83,94,100,7.2,CA,1702956766
336,chernyshevskiy,63.0128,112.4714,-35.54,99,87,1.32,RU,1702956766
337,sao paulo de olivenca,-3.3783,-68.8725,23.75,98,77,0.9,BR,1702956766
338,nar'yan-mar,67.6713,53.087,-11.61,93,97,6.71,RU,1702956583
339,korsakov,46.6328,142.7813,-6.09,79,100,3.83,RU,1702956766
340,luderitz,-26.6481,15.1594,16.49,72,56,7.48,NA,1702956569
341,ghanzi,-21.5667,21.7833,22.81,72,100,4.7,BW,1702956766
342,muravlenko,63.7898,74.523,-12.74,93,100,9.25,RU,1702956766
343,alofi,-19.0595,-169.9187,28.94,74,75,9.26,NU,1702956767
344,nova vicosa,-17.8919,-39.3719,25.01,86,95,4.55,BR,1702956568
345,porto velho,-8.7619,-63.9039,26.03,100,20,1.54,BR,1702956510
346,saguenay,48.4168,-71.0657,4.46,100,100,11.32,CA,1702956662
347,arkhangel'sk,64.5401,40.5433,-2.94,100,100,3.0,RU,1702956767
348,olenino,56.2092,33.4889,0.91,100,100,3.88,RU,1702956767
349,nikki,9.9401,3.2108,20.88,20,68,2.19,BJ,1702956767
350,abadiania,-16.2042,-48.7069,19.51,55,69,1.23,BR,1702956767
351,posto fiscal rolim de moura,-13.0833,-62.2667,27.37,62,100,1.28,BR,1702956767
352,guaimaca,14.5333,-86.8167,12.51,95,53,1.85,HN,1702956767
353,mossel bay,-34.1831,22.146,13.96,68,37,1.12,ZA,1702956767
354,ghat,24.9647,10.1728,7.01,77,18,3.56,LY,1702956767
355,mount isa,-20.7333,139.5,37.87,30,1,4.63,AU,1702956768
356,sinop,41.7711,34.8709,4.49,72,97,2.9,TR,1702956768
357,codo,-4.4553,-43.8856,23.4,96,96,1.03,BR,1702956768
358,castillos,-34.1667,-53.8333,14.85,96,100,6.23,UY,1702956768
359,pyapon,16.2833,95.6833,30.57,47,71,3.1,MM,1702956768
